sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
IMX327 (Sony),CIS,centroid,50,1048.5,38.75,174.2,5.0,,0.08,~$15-25,0.04977082345503399,0.05873152580983275,0.07527868378053995,56.2,12654.0,688.4
IMX327 (Sony),CIS,centroid,20,419.4,38.75,69.7,5.0,,0.08,~$15-25,0.05427532795953849,0.06957842462911246,0.09264684333984861,54.0,12654.0,859.6
IMX327 (Sony),CIS,centroid,500,10484.5,38.75,1741.7,5.0,,0.08,~$15-25,0.049517938991623246,0.05846475690797498,0.07401853379209607,56.6,12654.0,683.2
IMX327 (Sony),CIS,centroid,100,2096.9,38.75,348.3,5.0,,0.08,~$15-25,0.0494705231547337,0.05759078917776948,0.07401853379209607,57.2,12654.0,683.2
IMX327 (Sony),CIS,centroid,200,4193.8,38.75,696.7,5.0,,0.08,~$15-25,0.049486328433696866,0.05829551157812065,0.07404853004155301,57.0,12654.0,683.2
IMX327 (Sony),CIS,iou,1,21.0,38.75,3.5,5.0,,0.08,~$15-25,0.1519993677888415,0.11193217013840726,0.24349060650564916,35.2,12654.0,1976.6
IMX462 (Sony),CIS,sort,10,209.7,310.0,34.8,120.0,,1.0,~$20-30,0.9311363995574522,0.11531159072191355,0.8496767995789707,214.2,12654.0,12369.2
IMX327 (Sony),CIS,iou,2,41.9,38.75,7.0,5.0,,0.08,~$15-25,0.12941362415046626,0.1404170010629401,0.20231455793571196,73.0,12654.0,1838.2
IMX327 (Sony),CIS,iou,10,209.7,38.75,34.8,5.0,,0.08,~$15-25,0.06081871345029242,0.09545050755578306,0.10340563072861975,80.2,12654.0,1005.0
IMX327 (Sony),CIS,iou,5,104.8,38.75,17.4,5.0,,0.08,~$15-25,0.07725620357199306,0.1329947846603444,0.1298414588597537,122.8,12654.0,1378.4
IMX327 (Sony),CIS,iou,20,419.4,38.75,69.7,5.0,,0.08,~$15-25,0.053911806543385454,0.0667765987298534,0.08745955597207818,49.2,12654.0,778.2
IMX462 (Sony),CIS,sort,2,41.9,310.0,7.0,120.0,,1.0,~$20-30,0.9980717559664928,0.05451083117553342,0.9947476665084638,0.4,12654.0,12630.0
IMX327 (Sony),CIS,iou,100,2096.9,38.75,348.3,5.0,,0.08,~$15-25,0.049296665086138766,0.05759996303594676,0.07404962851874083,53.8,12654.0,677.6
